1a + 2b + 4c + 2d = weight 2512.21, charge 6, weight/charge 418.69468842185967
1a + 2b + 4c + 3d = weight 2661.28, charge 5, weight/charge 532.2453550928982
1a + 2b + 4c + 4d = weight 2810.35, charge 4, weight/charge 702.5699357516063
1a + 2b + 4c + 5d = weight 2959.42, charge 3, weight/charge 986.4404519849338
1a + 2b + 5c + 0d = weight 2279.55, charge 10, weight/charge 227.9527204727953
1a + 2b + 5c + 1d = weight 2428.62, charge 9, weight/charge 269.84366840368443
1a + 2b + 5c + 2d = weight 2577.69, charge 8, weight/charge 322.2072224097199
1a + 2b + 5c + 3d = weight 2726.76, charge 7, weight/charge 389.5315781203126
1a + 2b + 5c + 4d = weight 2875.83, charge 6, weight/charge 479.2970117164714
1a + 2b + 5c + 5d = weight 3024.90, charge 5, weight/charge 604.9679006419872
1a + 3b + 0c + 0d = weight 2588.88, charge 0, weight/charge 25888800.0
1a + 3b + 0c + 1d = weight 2737.95, charge -1, weight/charge -2738.2238223822383
1a + 3b + 0c + 2d = weight 2887.02, charge -2, weight/charge -1443.5821791089554
1a + 3b + 0c + 3d = weight 3036.09, charge -3, weight/charge -1012.0637354578487
1a + 3b + 0c + 4d = weight 3185.16, charge -4, weight/charge -796.3099077476937
1a + 3b + 0c + 5d = weight 3334.23, charge -5, weight/charge -666.8593371867437
1a + 3b + 1c + 0d = weight 2654.36, charge 2, weight/charge 1327.113644317784
1a + 3b + 1c + 1d = weight 2803.43, charge 1, weight/charge 2803.149685031497
1a + 3b + 1c + 2d = weight 2952.50, charge 0, weight/charge 29525000.0
1a + 3b + 1c + 3d = weight 3101.57, charge -1, weight/charge -3101.880188018802
